"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the password field masks user input.","408","TC006: Verify password field masking","chromium","Thu Oct 30 07:35:10 UTC 2025","passed","Thu Oct 30 07:35:10 UTC 2025","Login Tests (with Performance + Resource Tracking)","login.spec.ts","",""
"Verify login fails with an invalid username.","1109","TC003: Login with invalid username","webkit","Thu Oct 30 07:35:25 UTC 2025","passed","Thu Oct 30 07:35:26 UTC 2025","Login Tests (with Performance + Resource Tracking)","login.spec.ts","",""
"","2434","Complete Swag Labs purchase flow","firefox","Thu Oct 30 07:35:13 UTC 2025","passed","Thu Oct 30 07:35:16 UTC 2025","","swagLabs.spec.ts","",""
"Verify login fails with blank username and password.","961","TC004: Login with blank fields","firefox","Thu Oct 30 07:35:14 UTC 2025","passed","Thu Oct 30 07:35:15 UTC 2025","Login Tests (with Performance + Resource Tracking)","login.spec.ts","",""
"","889","TC011: Locked out user shows proper error message","webkit","Thu Oct 30 07:35:31 UTC 2025","passed","Thu Oct 30 07:35:32 UTC 2025","Login Tests (with Performance + Resource Tracking)","login.spec.ts","",""
"","2234","Complete Swag Labs purchase flow","chromium","Thu Oct 30 07:35:06 UTC 2025","passed","Thu Oct 30 07:35:08 UTC 2025","","swagLabs.spec.ts","",""
"Verify login fails with an invalid username.","461","TC003: Login with invalid username","chromium","Thu Oct 30 07:35:08 UTC 2025","passed","Thu Oct 30 07:35:09 UTC 2025","Login Tests (with Performance + Resource Tracking)","login.spec.ts","",""
"Verify login fails with blank username and password.","509","TC004: Login with blank fields","chromium","Thu Oct 30 07:35:09 UTC 2025","passed","Thu Oct 30 07:35:09 UTC 2025","Login Tests (with Performance + Resource Tracking)","login.spec.ts","",""
"","6477","Complete Swag Labs purchase flow","webkit","Thu Oct 30 07:35:20 UTC 2025","passed","Thu Oct 30 07:35:27 UTC 2025","","swagLabs.spec.ts","",""
"Validate that a user with valid credentials can successfully log in.","1006","TC002: Login with valid credentials","firefox","Thu Oct 30 07:35:12 UTC 2025","passed","Thu Oct 30 07:35:13 UTC 2025","Login Tests (with Performance + Resource Tracking)","login.spec.ts","",""
"Verify that a logged-in user can successfully log out.","1656","TC010: Verify successful logout process","chromium","Thu Oct 30 07:35:10 UTC 2025","passed","Thu Oct 30 07:35:12 UTC 2025","Login Tests (with Performance + Resource Tracking)","login.spec.ts","",""
"","664","TC011: Locked out user shows proper error message","firefox","Thu Oct 30 07:35:18 UTC 2025","passed","Thu Oct 30 07:35:19 UTC 2025","Login Tests (with Performance + Resource Tracking)","login.spec.ts","",""
"Verify login page loads successfully and key elements are visible.","845","TC001: Verify login page loads successfully","chromium","Thu Oct 30 07:35:06 UTC 2025","passed","Thu Oct 30 07:35:07 UTC 2025","Login Tests (with Performance + Resource Tracking)","login.spec.ts","",""
"Verify that a logged-in user can successfully log out.","1780","TC010: Verify successful logout process","firefox","Thu Oct 30 07:35:17 UTC 2025","passed","Thu Oct 30 07:35:18 UTC 2025","Login Tests (with Performance + Resource Tracking)","login.spec.ts","",""
"Verify that the password field masks user input.","735","TC006: Verify password field masking","webkit","Thu Oct 30 07:35:28 UTC 2025","passed","Thu Oct 30 07:35:29 UTC 2025","Login Tests (with Performance + Resource Tracking)","login.spec.ts","",""
"Verify login fails with an invalid username.","817","TC003: Login with invalid username","firefox","Thu Oct 30 07:35:13 UTC 2025","passed","Thu Oct 30 07:35:14 UTC 2025","Login Tests (with Performance + Resource Tracking)","login.spec.ts","",""
"Verify login fails with blank username and password.","943","TC004: Login with blank fields","webkit","Thu Oct 30 07:35:26 UTC 2025","passed","Thu Oct 30 07:35:27 UTC 2025","Login Tests (with Performance + Resource Tracking)","login.spec.ts","",""
"","606","TC011: Locked out user shows proper error message","chromium","Thu Oct 30 07:35:12 UTC 2025","passed","Thu Oct 30 07:35:13 UTC 2025","Login Tests (with Performance + Resource Tracking)","login.spec.ts","",""
"Verify login fails with a valid username and invalid password.","494","TC005: Login with invalid password","chromium","Thu Oct 30 07:35:09 UTC 2025","passed","Thu Oct 30 07:35:10 UTC 2025","Login Tests (with Performance + Resource Tracking)","login.spec.ts","",""
"Validate that a user with valid credentials can successfully log in.","695","TC002: Login with valid credentials","chromium","Thu Oct 30 07:35:08 UTC 2025","passed","Thu Oct 30 07:35:08 UTC 2025","Login Tests (with Performance + Resource Tracking)","login.spec.ts","",""
"Validate that a user with valid credentials can successfully log in.","1546","TC002: Login with valid credentials","webkit","Thu Oct 30 07:35:24 UTC 2025","passed","Thu Oct 30 07:35:25 UTC 2025","Login Tests (with Performance + Resource Tracking)","login.spec.ts","",""
